Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,PercentDD,Trades,ReEntryExtension,PTAsTimeREExt,CloseBreakEvenAfter,Pair
4836,48022413.00,4828.28,0.54415,1.27561,0.21092,-0.00001,48022413,22.89,8873,0.1,1.8,2,AUDCAD
4092,39022413.00,7270.30,0.77533,1.34538,0.31772,-0.00002,39022413,22.88,9377,0.1,1.6,2,AUDCAD
15624,48022413.00,11621.02,1.73086,1.45599,0.50812,-0.00002,48022413,22.87,6714,0.1,1.5,4,AUDCAD
13826,205019512.00,3092.34,2.49181,1.23083,0.13656,-0.06902,205019512,22.64,1241,0.3,1,4,AUDCAD
7874,120019512.00,3304.43,2.37387,1.30606,0.14593,-0.01752,120019512,22.64,1392,0.3,1,3,AUDCAD
3038,117019312.00,3195.67,2.05509,1.30800,0.14267,-0.00007,117019312,22.40,1555,0.3,1.3,2,AUDCAD
17546,224019312.00,4008.88,5.23353,1.36475,0.17909,-0.01730,224019312,22.39,766,0.3,2,4,AUDCAD
5642,134019212.00,2718.83,2.34382,1.27729,0.12165,-0.01984,134019212,22.35,1160,0.3,2,2,AUDCAD
14198,220019212.00,3248.35,2.85444,1.26641,0.14534,-0.07056,220019212,22.35,1138,0.3,1.1,4,AUDCAD
2294,145019212.00,3025.64,1.76319,1.26164,0.13544,-0.01926,145019212,22.34,1716,0.3,1.1,2,AUDCAD
16368,50021813.00,24469.66,3.89831,1.89086,1.09740,-0.00016,50021813,22.30,6277,0.1,1.7,4,AUDCAD
10416,55021813.00,14202.06,2.03148,1.65834,0.63693,-0.00022,55021813,22.30,6991,0.1,1.7,3,AUDCAD
4464,39021813.00,9924.08,1.09489,1.41127,0.44514,-0.00006,39021813,22.29,9064,0.1,1.7,2,AUDCAD
1550,137017111.00,1602.86,0.84406,1.18240,0.07934,-0.00009,137017111,20.20,1899,0.3,0.9,2,AUDCAD
16802,208017111.00,1273.62,1.55320,1.13881,0.06306,-0.09115,208017111,20.20,820,0.3,1.8,4,AUDCAD
14880,48016013.00,25953.52,3.46833,1.94414,1.56730,-0.00014,48016013,16.56,7483,0.1,1.3,4,AUDCAD
